Record,NoiseType,SNR_Level,SNRI,RMSE,PSNR
228,em,0.0,3.8388002,0.15324834,23.745949
232,em,5.0,2.453095,0.057743527,27.400333
231,ma,0.0,8.372912,0.091548935,28.861534
232,em,0.0,6.178038,0.06674037,26.125273
205,bw,0.0,15.888377,0.029302541,34.864468
230,ma,0.0,13.219106,0.07295147,33.529747
231,em,0.0,7.813301,0.097817294,28.293383
115,bw,5.0,8.10341,0.068390764,33.893307
233,bw,1.25,10.12606,0.14036563,29.512346
101,em,5.0,6.520533,0.060276214,30.620169
101,em,0.0,10.244389,0.06992493,29.34402
209,bw,1.25,10.844811,0.05882503,31.476748
101,bw,5.0,7.9130735,0.051417056,32.008698
122,ma,5.0,12.808163,0.046712074,33.205315
113,bw,0.0,8.680576,0.14057866,26.058447
217,em,0.0,6.0928755,0.28796205,22.657413
223,em,1.25,11.640911,0.089016266,30.023443
223,bw,0.0,18.17491,0.04837737,35.306698
121,ma,0.0,2.6874986,0.12188891,19.538702
122,em,5.0,11.999211,0.050451837,32.39088
101,ma,1.25,10.457289,0.059111454,30.804766
231,ma,5.0,4.36387,0.08146286,29.852491
118,ma,5.0,2.4196222,0.16891104,25.05057
115,em,0.0,10.445098,0.09303616,31.232939
114,bw,1.25,1.7938842,0.08120281,22.838444
111,bw,0.0,14.773861,0.03417813,32.441387
116,em,1.25,12.147175,0.11417398,31.976967
214,em,5.0,4.870537,0.14361785,28.514978
205,bw,5.0,11.800185,0.026349457,35.77628
219,em,5.0,10.341101,0.07530292,32.891563
115,ma,5.0,7.519652,0.07325909,33.29977
114,bw,0.0,3.0098808,0.081519805,22.80444
220,bw,0.0,13.123566,0.07055052,34.032627
230,bw,5.0,11.007656,0.05370942,36.31309
117,em,0.0,6.998312,0.09223128,25.77016
200,em,5.0,4.2198477,0.12051192,28.876802
231,em,5.0,3.997767,0.085223675,29.477846
106,em,5.0,5.556549,0.10156954,29.19849
106,bw,5.0,6.6684504,0.08981715,30.307972
221,ma,0.0,12.231727,0.06815949,30.082247
213,em,0.0,13.301179,0.1336019,29.749397
214,bw,1.25,9.561466,0.12916952,29.45387
111,ma,5.0,8.668335,0.038500663,31.330364
228,bw,1.25,3.5667307,0.1373148,24.728895
123,ma,5.0,10.009473,0.048418943,36.167706
123,bw,0.0,15.730033,0.04461001,36.889164
232,em,1.25,5.290947,0.06402524,26.488184
220,bw,1.25,12.008737,0.06945511,34.167793
214,ma,1.25,9.619015,0.12802933,29.512611
203,bw,1.25,10.106949,0.11733796,30.38764
220,ma,0.0,11.721539,0.08275003,32.631187
106,ma,0.0,10.648828,0.10081434,29.286335
107,bw,5.0,3.7844126,0.29988375,24.547087
221,bw,1.25,11.548136,0.064326145,30.651222
220,em,0.0,10.109408,0.09940919,31.018057
118,ma,0.0,6.8597565,0.18014334,24.490702
215,bw,1.25,12.20965,0.05788343,32.399902
213,ma,0.0,14.4165535,0.11715267,30.860859
209,ma,1.25,10.129255,0.06355322,30.755344
121,bw,5.0,-2.8458362,0.1294655,19.000042
111,em,5.0,7.030513,0.04610326,29.695019
108,bw,1.25,4.6277003,0.09160177,24.744009
101,bw,0.0,12.622763,0.05317738,31.71839
219,ma,5.0,11.51936,0.065461524,34.065266
123,em,1.25,10.37463,0.0717157,32.78812
107,bw,0.0,8.374208,0.3144293,24.13688
122,em,0.0,14.251715,0.06937916,29.643383
209,ma,0.0,11.144277,0.06522809,30.520365
221,em,1.25,9.014415,0.087204255,28.114157
202,ma,5.0,6.9831147,0.06393575,29.49539
217,bw,5.0,3.7195094,0.21245335,25.28037
100,em,5.0,4.6580796,0.060751237,29.148268
207,bw,5.0,0.4439944,0.15619336,21.540148
106,bw,0.0,11.601711,0.09054006,30.241234
222,ma,5.0,-0.34012213,0.075855576,24.738739
228,ma,5.0,0.07107405,0.13351642,24.97487
212,em,5.0,4.21198,0.10399045,26.723503
101,em,1.25,9.411553,0.06660502,29.76119
232,ma,0.0,7.207809,0.059396442,27.159266
114,ma,0.0,2.758695,0.083824806,22.556091
107,ma,5.0,3.5680475,0.30754182,24.324345
207,em,0.0,4.3923945,0.1762485,20.493528
112,bw,5.0,0.9658568,0.09207036,23.414328
103,em,5.0,11.082792,0.047377743,34.444008
201,ma,5.0,4.501536,0.056110896,29.855803
108,ma,1.25,4.7659235,0.0902596,24.875963
111,bw,1.25,13.702076,0.03351778,32.619606
214,em,1.25,7.979977,0.15466318,27.874418
121,bw,1.25,0.75340503,0.13180286,18.849285
100,ma,5.0,4.8749156,0.059294503,29.359556
100,em,0.0,9.021895,0.065379776,28.512085
230,em,0.0,11.15767,0.091791585,31.45939
205,ma,0.0,13.008083,0.04059783,31.984934
223,em,5.0,9.663801,0.072430626,31.796339
116,ma,5.0,10.748768,0.08676187,34.327553
121,em,0.0,1.7613498,0.13558333,18.60598
124,em,0.0,9.585534,0.124165036,27.349325
119,em,1.25,10.113037,0.14151646,29.776829
234,bw,0.0,15.735211,0.046977248,32.59623
124,em,5.0,5.974205,0.1058469,28.737993
103,ma,0.0,14.837863,0.055619027,33.190228
223,em,0.0,12.091262,0.0975685,29.223795
101,bw,1.25,11.476702,0.05253583,31.822325
105,ma,5.0,11.183435,0.056825534,33.022835
234,ma,1.25,12.585674,0.058664896,30.709974
121,em,5.0,-3.026357,0.13221127,18.818272
203,em,5.0,4.5792146,0.14258815,28.609228
114,em,0.0,2.0566356,0.090795204,21.852697
101,ma,5.0,7.340747,0.054902375,31.438225
