Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.4860,23630.000000,-0.158629
0.4880,23668.000000,-0.139060
0.4900,23709.000000,-0.118862
0.4920,23760.000000,-0.099541
0.4940,24044.000000,-0.081915
0.4960,24070.000000,-0.065623
0.4980,24118.000000,-0.050447
0.5000,24133.000000,-0.035519
0.5020,24140.000000,-0.020428
0.5040,24148.000000,-0.005939
0.5060,24156.000000,0.007974
0.5080,24248.000000,0.021946
0.5100,24256.000000,0.036179
0.5120,24263.000000,0.050412
0.5140,24269.000000,0.064412
0.5160,24268.000000,0.079026
0.5180,24276.000000,0.094952
0.5200,24289.000000,0.111776
0.5220,24254.000000,0.129409
0.5240,24255.000000,0.147086
0.5260,24249.000000,0.162921
0.5280,24254.000000,0.176337
0.5300,24233.000000,0.187856
0.5320,24218.000000,0.198115
0.5340,24209.000000,0.208368
0.5360,24220.000000,0.220043
0.5380,24213.000000,0.234182
0.5400,24188.000000,0.250133
0.5420,24194.000000,0.265137
0.5440,24214.000000,0.277308
0.5460,24220.000000,0.286551
0.5480,24223.000000,0.293157
0.5500,24211.000000,0.298717
0.5520,24193.000000,0.306009
0.5540,24195.000000,0.316566
0.5560,24113.000000,0.329633
0.5580,24108.000000,0.342944
0.5600,24084.000000,0.354151
0.5620,24091.000000,0.361714
0.5640,24096.000000,0.365447
0.5660,24104.000000,0.366887
0.5680,24101.000000,0.368061
0.5700,23896.000000,0.370228
0.5720,23878.000000,0.373706
0.5740,23883.000000,0.377770
0.5760,23885.000000,0.381553
0.5780,23888.000000,0.384440
0.5800,23875.000000,0.385533
0.5820,23874.000000,0.384399
0.5840,23842.000000,0.380929
0.5860,23821.000000,0.375205
0.5880,23794.000000,0.369241
0.5900,23761.000000,0.366298
0.5920,23756.000000,0.368887
0.5940,23740.000000,0.377870
0.5960,23711.000000,0.390572
0.5980,23683.000000,0.401047
0.6000,23653.000000,0.402892
0.6020,23624.000000,0.392075
0.6040,23583.000000,0.370982
0.6060,23563.000000,0.347790
0.6080,23500.000000,0.330056
0.6100,23456.000000,0.321437
0.6120,23430.000000,0.319692
0.6140,23371.000000,0.315650
0.6160,23358.000000,0.298944
0.6180,23319.000000,0.264076
0.6200,23286.000000,0.213575
0.6220,23243.000000,0.159143
0.6240,23206.000000,0.114507
0.6260,23166.000000,0.086786
0.6280,23109.000000,0.076063
0.6300,22402.000000,0.076354
0.6320,22341.000000,0.076798
0.6340,22286.000000,0.067697
0.6360,22247.000000,0.046217
0.6380,22184.000000,0.016355
0.6400,22115.000000,-0.015571
0.6420,22081.000000,-0.044421
0.6440,19608.000000,-0.066931
0.6460,19542.000000,-0.083103
0.6480,19501.000000,-0.094998
0.6500,19449.000000,-0.102667
0.6520,19383.000000,-0.105037
0.6540,19327.000000,-0.102341
0.6560,19261.000000,-0.095455
0.6580,18141.000000,-0.086892
0.6600,18098.000000,-0.081239
0.6620,18048.000000,-0.082404
0.6640,17969.000000,-0.091895
0.6660,16804.000000,-0.108122
0.6680,16741.000000,-0.126707
0.6700,16694.000000,-0.142825
0.6720,16634.000000,-0.153001
0.6740,16568.000000,-0.156079
0.6760,16515.000000,-0.153538
0.6780,16456.000000,-0.148361
0.6800,16390.000000,-0.143470
0.6820,16336.000000,-0.139979
0.6840,16283.000000,-0.137342
0.6860,16233.000000,-0.135435
0.6880,16182.000000,-0.133929
0.6900,15480.000000,-0.131656
0.6920,15407.000000,-0.128862
0.6940,15355.000000,-0.126645
0.6960,15319.000000,-0.124995
0.6980,15269.000000,-0.124189
0.7000,15225.000000,-0.125219
0.7020,15168.000000,-0.128192
0.7040,15110.000000,-0.132435
0.7060,15049.000000,-0.136871
0.7080,15003.000000,-0.139917
0.7100,14938.000000,-0.140675
0.7120,14868.000000,-0.139658
0.7140,14804.000000,-0.137673
0.7160,14759.000000,-0.135368
0.7180,14712.000000,-0.133742
0.7200,14661.000000,-0.133394
0.7220,14606.000000,-0.133972
0.7240,14533.000000,-0.135082
0.7260,14467.000000,-0.136524
0.7280,14424.000000,-0.138317
0.7300,14224.000000,-0.140801
0.7320,14189.000000,-0.143810
0.7340,14163.000000,-0.147114
0.7360,14116.000000,-0.151149
0.7380,14054.000000,-0.155702
0.7400,13996.000000,-0.160030
0.7420,13940.000000,-0.164162
0.7440,13900.000000,-0.168197
0.7460,13844.000000,-0.171766
0.7480,13774.000000,-0.174486
0.7500,13724.000000,-0.176202
0.7520,13683.000000,-0.177144
0.7540,13634.000000,-0.177554
0.7560,13561.000000,-0.177884
0.7580,13519.000000,-0.179243
0.7600,13457.000000,-0.182246
0.7620,13389.000000,-0.186499
0.7640,13342.000000,-0.190982
0.7660,13269.000000,-0.194243
0.7680,13209.000000,-0.195923
0.7700,13154.000000,-0.196953
0.7720,13105.000000,-0.198291
0.7740,13049.000000,-0.201482
0.7760,13004.000000,-0.207791
0.7780,12951.000000,-0.216514
0.7800,12910.000000,-0.226164
0.7820,12847.000000,-0.234828
0.7840,12794.000000,-0.240520
0.7860,12716.000000,-0.243544
0.7880,12667.000000,-0.246103
0.7900,12615.000000,-0.250237
0.7920,12583.000000,-0.256679
0.7940,12544.000000,-0.263850
0.7960,12481.000000,-0.268884
0.7980,12419.000000,-0.269073
0.8000,12363.000000,-0.263505
0.8020,12302.000000,-0.256145
0.8040,12239.000000,-0.253669
0.8060,12147.000000,-0.260579
0.8080,12093.000000,-0.278963
0.8100,12052.000000,-0.306893
0.8120,12015.000000,-0.337543
0.8140,11938.000000,-0.364082
0.8160,11879.000000,-0.381849
0.8180,11773.000000,-0.390019
0.8200,11721.000000,-0.395347
0.8220,11651.000000,-0.407825
0.8240,11573.000000,-0.434545
0.8260,11526.000000,-0.478908
0.8280,11477.000000,-0.537414
0.8300,11434.000000,-0.599395
0.8320,11381.000000,-0.653667
0.8340,10410.000000,-0.692384
0.8360,10368.000000,-0.713679
0.8380,10331.000000,-0.723707
0.8400,10290.000000,-0.731901
0.8420,10239.000000,-0.745344
