Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
19.7460,-2211.000000,-0.002333
19.7480,-2194.000000,-0.002641
19.7500,-2193.000000,-0.002827
19.7520,-2203.000000,-0.003737
19.7540,-2219.000000,-0.004575
19.7560,-2211.000000,-0.004993
19.7580,-2217.000000,-0.005285
19.7600,-2234.000000,-0.004988
19.7620,-2237.000000,-0.004635
19.7640,-2232.000000,-0.004766
19.7660,-2219.000000,-0.004881
19.7680,-2219.000000,-0.005003
19.7700,-2209.000000,-0.004775
19.7720,-2212.000000,-0.003862
19.7740,-2227.000000,-0.003386
19.7760,-2230.000000,-0.003715
19.7780,-2217.000000,-0.003723
19.7800,-2226.000000,-0.002772
19.7820,-2252.000000,-0.001784
19.7840,-2254.000000,-0.001973
19.7860,-2264.000000,-0.002398
19.7880,-2241.000000,-0.002222
19.7900,-2246.000000,-0.002815
19.7920,-2261.000000,-0.003890
19.7940,-2252.000000,-0.004248
19.7960,-2250.000000,-0.004938
19.7980,-2242.000000,-0.006042
19.8000,-2247.000000,-0.006568
19.8020,-2260.000000,-0.006947
19.8040,-2276.000000,-0.007087
19.8060,-2278.000000,-0.006614
19.8080,-2261.000000,-0.006127
19.8100,-2247.000000,-0.005866
19.8120,-2240.000000,-0.005835
19.8140,-2242.000000,-0.005720
19.8160,-2249.000000,-0.005077
19.8180,-2238.000000,-0.004610
19.8200,-2227.000000,-0.004724
19.8220,-2227.000000,-0.004826
19.8240,-2221.000000,-0.004666
19.8260,-2218.000000,-0.004434
19.8280,-2232.000000,-0.004682
19.8300,-2219.000000,-0.005191
19.8320,-2227.000000,-0.005150
19.8340,-2241.000000,-0.005425
19.8360,-2231.000000,-0.006316
19.8380,-2213.000000,-0.006538
19.8400,-2196.000000,-0.006663
19.8420,-2204.000000,-0.007469
19.8440,-2217.000000,-0.008128
19.8460,-2229.000000,-0.008483
19.8480,-2226.000000,-0.008338
19.8500,-2221.000000,-0.007717
19.8520,-2201.000000,-0.007806
19.8540,-2175.000000,-0.008371
19.8560,-2168.000000,-0.008610
19.8580,-2154.000000,-0.008704
19.8600,-2196.000000,-0.008144
19.8620,-2212.000000,-0.007267
19.8640,-2223.000000,-0.007419
19.8660,-2216.000000,-0.007867
19.8680,-2221.000000,-0.007332
19.8700,-2217.000000,-0.006317
19.8720,-2231.000000,-0.005931
19.8740,-2256.000000,-0.006357
19.8760,-2271.000000,-0.006755
19.8780,-2286.000000,-0.007178
19.8800,-2288.000000,-0.008174
19.8820,-2279.000000,-0.008781
19.8840,-2272.000000,-0.009112
19.8860,-2277.000000,-0.010588
19.8880,-2271.000000,-0.012228
19.8900,-2265.000000,-0.012686
19.8920,-2262.000000,-0.012567
19.8940,-2260.000000,-0.012302
19.8960,-2261.000000,-0.012176
19.8980,-2257.000000,-0.012420
19.9000,-2252.000000,-0.012448
19.9020,-2267.000000,-0.012270
19.9040,-2277.000000,-0.012138
19.9060,-2304.000000,-0.011834
19.9080,-2321.000000,-0.011977
19.9100,-2324.000000,-0.012745
19.9120,-2344.000000,-0.012938
19.9140,-2376.000000,-0.012517
19.9160,-2387.000000,-0.012630
19.9180,-2399.000000,-0.013237
19.9200,-2425.000000,-0.013572
19.9220,-2452.000000,-0.013710
19.9240,-2469.000000,-0.013963
19.9260,-2456.000000,-0.014072
19.9280,-2441.000000,-0.014216
19.9300,-2467.000000,-0.015145
19.9320,-2482.000000,-0.016508
19.9340,-2506.000000,-0.017151
19.9360,-2524.000000,-0.016913
19.9380,-2527.000000,-0.016516
19.9400,-2551.000000,-0.016640
19.9420,-2566.000000,-0.017325
19.9440,-2564.000000,-0.017742
19.9460,-2579.000000,-0.017586
19.9480,-2594.000000,-0.017500
19.9500,-2621.000000,-0.017405
19.9520,-2637.000000,-0.017196
19.9540,-2652.000000,-0.017585
19.9560,-2648.000000,-0.017755
19.9580,-2649.000000,-0.016574
19.9600,-2637.000000,-0.015732
19.9620,-2634.000000,-0.016245
19.9640,-2654.000000,-0.016357
19.9660,-2662.000000,-0.015987
19.9680,-2677.000000,-0.016614
19.9700,-2679.000000,-0.017647
19.9720,-2692.000000,-0.018228
19.9740,-2690.000000,-0.019135
19.9760,-2704.000000,-0.020569
19.9780,-2705.000000,-0.021355
19.9800,-2689.000000,-0.021105
19.9820,-2690.000000,-0.020781
19.9840,-2702.000000,-0.020635
19.9860,-2691.000000,-0.020145
19.9880,-2694.000000,-0.019472
19.9900,-2722.000000,-0.018715
19.9920,-2726.000000,-0.018052
19.9940,-2721.000000,-0.018107
19.9960,-2714.000000,-0.018239
19.9980,-2724.000000,-0.018007
20.0000,-2694.000000,-0.018355
20.0020,-2667.000000,-0.018893
20.0040,-2671.000000,-0.019181
20.0060,-2657.000000,-0.019918
20.0080,-2649.000000,-0.020190
20.0100,-2647.000000,-0.019606
20.0120,-2626.000000,-0.019584
20.0140,-2637.000000,-0.019672
20.0160,-2612.000000,-0.019193
20.0180,-2595.000000,-0.019229
20.0200,-2596.000000,-0.019802
20.0220,-2591.000000,-0.020165
20.0240,-2586.000000,-0.020194
20.0260,-2570.000000,-0.019864
20.0280,-2559.000000,-0.019609
20.0300,-2555.000000,-0.019743
20.0320,-2526.000000,-0.019951
20.0340,-2492.000000,-0.020078
20.0360,-2474.000000,-0.020080
20.0380,-2460.000000,-0.019892
20.0400,-2443.000000,-0.019386
20.0420,-2436.000000,-0.018840
20.0440,-2420.000000,-0.018834
20.0460,-2382.000000,-0.018535
20.0480,-2366.000000,-0.017549
20.0500,-2352.000000,-0.017334
20.0520,-2332.000000,-0.017352
20.0540,-2314.000000,-0.016670
20.0560,-2310.000000,-0.017022
20.0580,-2306.000000,-0.018124
20.0600,-2309.000000,-0.018189
20.0620,-2300.000000,-0.018431
20.0640,-2279.000000,-0.019571
20.0660,-2281.000000,-0.020245
20.0680,-2292.000000,-0.020358
20.0700,-2287.000000,-0.020422
