Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.6860,-11866.000000,-0.326354
0.6880,-11805.000000,-0.319736
0.6900,-11745.000000,-0.310716
0.6920,-11771.000000,-0.304060
0.6940,-11681.000000,-0.308834
0.6960,-11636.000000,-0.309027
0.6980,-11496.000000,-0.296989
0.7000,-11382.000000,-0.292384
0.7020,-11291.000000,-0.285011
0.7040,-11201.000000,-0.267660
0.7060,-11129.000000,-0.258776
0.7080,-11077.000000,-0.243351
0.7100,-10957.000000,-0.218110
0.7120,-10884.000000,-0.206901
0.7140,-10749.000000,-0.194645
0.7160,-10606.000000,-0.175810
0.7180,-10503.000000,-0.164890
0.7200,-10410.000000,-0.146493
0.7220,-10246.000000,-0.128285
0.7240,-10129.000000,-0.129077
0.7260,-9962.000000,-0.131217
0.7280,-9859.000000,-0.130828
0.7300,-9743.000000,-0.128840
0.7320,-9643.000000,-0.119504
0.7340,-9523.000000,-0.122978
0.7360,-9176.000000,-0.136205
0.7380,-6242.000000,-0.138688
0.7400,-6106.000000,-0.136851
0.7420,-6041.000000,-0.123356
0.7440,-6015.000000,-0.100116
0.7460,-5941.000000,-0.091248
0.7480,-5764.000000,-0.081815
0.7500,-5630.000000,-0.060935
0.7520,-5537.000000,-0.041358
0.7540,-5490.000000,-0.014244
0.7560,-5388.000000,0.007111
0.7580,-5268.000000,0.007156
0.7600,-5145.000000,0.016026
0.7620,-5114.000000,0.037208
0.7640,-5016.000000,0.050334
0.7660,-5022.000000,0.060557
0.7680,-4959.000000,0.065363
0.7700,-4857.000000,0.067032
0.7720,-4760.000000,0.079171
0.7740,-4687.000000,0.091280
0.7760,-4707.000000,0.096938
0.7780,-4672.000000,0.099907
0.7800,-4574.000000,0.098898
0.7820,-4531.000000,0.106201
0.7840,-4538.000000,0.121249
0.7860,-4476.000000,0.127185
0.7880,-4425.000000,0.126324
0.7900,-4372.000000,0.123342
0.7920,-4286.000000,0.124609
0.7940,-4224.000000,0.136892
0.7960,-4178.000000,0.143286
0.7980,-4145.000000,0.140764
0.8000,-4162.000000,0.141660
0.8020,-4116.000000,0.137642
0.8040,-4119.000000,0.133707
0.8060,-4091.000000,0.138421
0.8080,-4026.000000,0.136924
0.8100,-4009.000000,0.134222
0.8120,-3972.000000,0.138270
0.8140,-3829.000000,0.136961
0.8160,-3780.000000,0.136772
0.8180,-3777.000000,0.141522
0.8200,-3727.000000,0.141515
0.8220,-3711.000000,0.143940
0.8240,-3691.000000,0.147523
0.8260,-3631.000000,0.145689
0.8280,-3686.000000,0.147719
0.8300,-3691.000000,0.149088
0.8320,-3657.000000,0.144741
0.8340,-3729.000000,0.144107
0.8360,-3697.000000,0.143398
0.8380,-3614.000000,0.141190
0.8400,-3606.000000,0.142601
0.8420,-3591.000000,0.139866
0.8440,-3649.000000,0.134335
0.8460,-3602.000000,0.133754
0.8480,-3643.000000,0.135080
0.8500,-3655.000000,0.138029
0.8520,-3642.000000,0.139302
0.8540,-3639.000000,0.134675
0.8560,-3596.000000,0.131583
0.8580,-3574.000000,0.132492
0.8600,-3566.000000,0.135846
0.8620,-3544.000000,0.140443
0.8640,-3494.000000,0.137626
0.8660,-3541.000000,0.130510
0.8680,-3567.000000,0.129486
0.8700,-3547.000000,0.131079
0.8720,-3539.000000,0.132582
0.8740,-3483.000000,0.131756
0.8760,-3422.000000,0.124613
0.8780,-3409.000000,0.120072
0.8800,-3439.000000,0.121714
0.8820,-3367.000000,0.122583
0.8840,-3313.000000,0.122266
0.8860,-3372.000000,0.118191
0.8880,-3452.000000,0.111763
0.8900,-3387.000000,0.111816
0.8920,-3359.000000,0.113568
0.8940,-3329.000000,0.111181
0.8960,-3336.000000,0.108034
0.8980,-3274.000000,0.104228
0.9000,-3289.000000,0.103883
