Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
17.6040,-1946.000000,0.019462
17.6060,-1976.000000,0.014027
17.6080,-2006.000000,0.015269
17.6100,-2039.000000,0.018715
17.6120,-2062.000000,0.025353
17.6140,-2289.000000,0.031102
17.6160,-2315.000000,0.031644
17.6180,-2342.000000,0.026700
17.6200,-2384.000000,0.017782
17.6220,-2411.000000,0.010782
17.6240,-2434.000000,0.008888
17.6260,-2466.000000,0.007165
17.6280,-2505.000000,-0.002037
17.6300,-2536.000000,-0.022972
17.6320,-2556.000000,-0.044865
17.6340,-2569.000000,-0.049327
17.6360,-2594.000000,-0.038856
17.6380,-2640.000000,-0.032823
17.6400,-2671.000000,-0.041373
17.6420,-2716.000000,-0.058109
17.6440,-2749.000000,-0.066774
17.6460,-2777.000000,-0.060409
17.6480,-2799.000000,-0.052298
17.6500,-2815.000000,-0.057244
17.6520,-2861.000000,-0.076294
17.6540,-2882.000000,-0.099396
17.6560,-2924.000000,-0.114689
17.6580,-2949.000000,-0.123039
17.6600,-2968.000000,-0.135359
17.6620,-2994.000000,-0.153458
17.6640,-3026.000000,-0.168982
17.6660,-3063.000000,-0.178849
17.6680,-3082.000000,-0.189624
17.6700,-3118.000000,-0.203285
17.6720,-3152.000000,-0.212447
17.6740,-3179.000000,-0.215730
17.6760,-3215.000000,-0.215512
17.6780,-3229.000000,-0.209331
17.6800,-3267.000000,-0.203319
17.6820,-3307.000000,-0.206193
17.6840,-3333.000000,-0.211610
17.6860,-3367.000000,-0.212272
17.6880,-3406.000000,-0.211334
17.6900,-3436.000000,-0.215378
17.6920,-3460.000000,-0.228289
17.6940,-3489.000000,-0.245321
17.6960,-3509.000000,-0.261238
17.6980,-3529.000000,-0.276646
17.7000,-3569.000000,-0.288537
17.7020,-3598.000000,-0.298087
17.7040,-3617.000000,-0.312617
17.7060,-3654.000000,-0.329198
17.7080,-3686.000000,-0.342598
17.7100,-3714.000000,-0.351343
17.7120,-3741.000000,-0.351245
17.7140,-3771.000000,-0.346549
17.7160,-3796.000000,-0.346778
17.7180,-3823.000000,-0.355586
17.7200,-3859.000000,-0.371681
17.7220,-3883.000000,-0.378353
17.7240,-3932.000000,-0.363908
17.7260,-3966.000000,-0.352598
17.7280,-3977.000000,-0.362901
17.7300,-4012.000000,-0.378069
17.7320,-4043.000000,-0.385344
17.7340,-4077.000000,-0.387554
17.7360,-4103.000000,-0.388066
17.7380,-4118.000000,-0.392160
17.7400,-4157.000000,-0.398983
17.7420,-4189.000000,-0.399856
17.7440,-4218.000000,-0.394964
17.7460,-4247.000000,-0.395205
17.7480,-4279.000000,-0.405817
17.7500,-4321.000000,-0.416904
17.7520,-4342.000000,-0.418921
17.7540,-4376.000000,-0.418272
17.7560,-4407.000000,-0.425839
17.7580,-4435.000000,-0.444408
17.7600,-4448.000000,-0.466735
17.7620,-4491.000000,-0.481904
17.7640,-4535.000000,-0.490294
17.7660,-4551.000000,-0.496173
17.7680,-4590.000000,-0.497979
17.7700,-4617.000000,-0.502006
17.7720,-4634.000000,-0.509817
17.7740,-4654.000000,-0.507136
17.7760,-4689.000000,-0.495782
17.7780,-4720.000000,-0.493092
17.7800,-4755.000000,-0.500855
17.7820,-4793.000000,-0.510440
17.7840,-4819.000000,-0.515173
17.7860,-4864.000000,-0.512633
17.7880,-4894.000000,-0.509871
17.7900,-4941.000000,-0.515147
17.7920,-4953.000000,-0.526763
17.7940,-4993.000000,-0.535263
17.7960,-5029.000000,-0.536113
17.7980,-5050.000000,-0.537670
17.8000,-5080.000000,-0.544821
17.8020,-5121.000000,-0.550863
17.8040,-5175.000000,-0.553730
17.8060,-5196.000000,-0.556521
17.8080,-5201.000000,-0.561042
17.8100,-5257.000000,-0.566384
17.8120,-5287.000000,-0.564547
17.8140,-5316.000000,-0.556238
17.8160,-5346.000000,-0.554933
17.8180,-5378.000000,-0.561410
17.8200,-5409.000000,-0.570031
17.8220,-5441.000000,-0.583064
17.8240,-5482.000000,-0.597361
17.8260,-5502.000000,-0.609933
17.8280,-5537.000000,-0.624656
17.8300,-5567.000000,-0.639190
17.8320,-5591.000000,-0.649519
17.8340,-5629.000000,-0.655698
17.8360,-5682.000000,-0.657672
17.8380,-5703.000000,-0.657096
17.8400,-5736.000000,-0.651003
17.8420,-5756.000000,-0.634999
17.8440,-5785.000000,-0.619268
17.8460,-5832.000000,-0.616370
17.8480,-5868.000000,-0.622226
17.8500,-5911.000000,-0.625679
17.8520,-6173.000000,-0.623505
17.8540,-6198.000000,-0.620065
17.8560,-6234.000000,-0.620207
17.8580,-6256.000000,-0.628043
17.8600,-6298.000000,-0.643040
17.8620,-6318.000000,-0.654877
17.8640,-6354.000000,-0.659831
17.8660,-6372.000000,-0.668909
17.8680,-6407.000000,-0.685408
17.8700,-6443.000000,-0.700771
17.8720,-6477.000000,-0.710015
17.8740,-6487.000000,-0.713027
17.8760,-6505.000000,-0.714106
17.8780,-6545.000000,-0.719128
17.8800,-6576.000000,-0.727302
17.8820,-6592.000000,-0.732847
17.8840,-6626.000000,-0.731042
17.8860,-6666.000000,-0.724948
17.8880,-6685.000000,-0.723674
17.8900,-6720.000000,-0.728237
17.8920,-6744.000000,-0.733112
17.8940,-6792.000000,-0.736019
17.8960,-6816.000000,-0.736641
17.8980,-6844.000000,-0.736685
17.9000,-6877.000000,-0.734844
17.9020,-6894.000000,-0.727110
17.9040,-6910.000000,-0.719629
17.9060,-6942.000000,-0.718342
17.9080,-6959.000000,-0.719344
17.9100,-7000.000000,-0.723109
17.9120,-7042.000000,-0.729914
17.9140,-7052.000000,-0.734897
17.9160,-7079.000000,-0.740688
17.9180,-7097.000000,-0.749998
17.9200,-7121.000000,-0.757912
17.9220,-7156.000000,-0.759095
17.9240,-7182.000000,-0.751734
17.9260,-7203.000000,-0.744647
17.9280,-7204.000000,-0.745270
17.9300,-7216.000000,-0.742016
17.9320,-7249.000000,-0.730531
17.9340,-7260.000000,-0.726866
17.9360,-7266.000000,-0.734894
17.9380,-7293.000000,-0.741801
17.9400,-7297.000000,-0.740808
17.9420,-7282.000000,-0.732470
17.9440,-7294.000000,-0.720060
17.9460,-7281.000000,-0.710836
17.9480,-7277.000000,-0.708047
